"mensal","cota","afluencia","defluencia","vazao_vertida","vazao_turbinada","vazao_natural","proporcao_volume_util","vazao_incremental"
"2015-01",384.441538461538,501.538461538462,1103.23076923077,0,1084.30769230769,656.204615384615,19.5692307692308,495.307692307692
"2015-02",384.037142857143,1094.28571428571,1142.85714285714,0,1116.71428571429,1557.76821428571,17.1396428571429,1027.57142857143
"2015-03",384.184193548387,1237.09677419355,1153.54838709677,0,1153.70967741935,1893.67193548387,18.0003225806452,1181.74193548387
"2015-04",384.659333333333,1386,1085.66666666667,0,1091.7,2172.20533333333,20.942,1367.2
"2015-05",384.744516129032,1086.77419354839,1106.54838709677,0,1102.61290322581,1360.49741935484,21.4845161290323,1043.70967741935
"2015-06",384.576,742.666666666667,959.4,0,957.5,788.841333333333,20.4073333333333,567.366666666667
"2015-07",384.197096774194,616.129032258065,933.483870967742,0,929.387096774194,630.431935483871,18.0890322580645,458.58064516129
"2015-08",383.581290322581,529.354838709677,942.129032258065,0,941.064516129032,517.708064516129,14.5677419354839,425.58064516129
"2015-09",382.798666666667,486,938.1,0,937.7,406.357,10.4136666666667,315.4
"2015-10",381.952258064516,482.903225806452,935.709677419355,0,935.387096774194,226.618387096774,6.27129032258065,203.064516129032
"2015-11",381.116333333333,587.333333333333,937.966666666667,0,934.7,307.144,2.52966666666667,217.6
"2015-12",380.931935483871,1046.12903225806,928.064516129032,0,926.258064516129,1078.29161290323,1.74032258064516,662.258064516129
"2016-01",381.368709677419,1711.29032258065,852.161290322581,0,851.806451612903,2035.30483870968,3.67516129032258,1458.45161290323
"2016-02",384.951379310345,3202.75862068966,822.51724137931,0,822.586206896552,4424.12379310345,23.2941379310345,3138.20689655172
"2016-03",386.24064516129,1139.03225806452,829.41935483871,0,829.451612903226,1582.62741935484,32.1832258064516,1037.25806451613
"2016-04",386.279333333333,636.333333333333,825.766666666667,0,825.8,834.704,32.4856666666667,503.166666666667
"2016-05",385.796774193548,465.806451612903,834.41935483871,0,834.483870967742,515.886129032258,28.8048387096774,358.354838709677
"2016-06",385.239666666667,400,827.966666666667,0,828.1,469.903333333333,24.814,286.866666666667
"2016-07",384.608064516129,371.612903225806,828.129032258065,0,827.935483870968,381.841935483871,20.621935483871,257.967741935484
"2016-08",383.943548387097,397.741935483871,830,0,830,385.855806451613,16.6074193548387,250.903225806452
"2016-09",383.191,402,828.533333333333,0,828.333333333333,313.019333333333,12.454,200.7
"2016-10",382.523225806452,497.41935483871,826.645161290323,0,826.483870967742,354.140322580645,9.01645161290323,252.870967741935
"2016-11",381.946,638,804.666666666667,0,804.566666666667,704.398,6.22966666666667,401.233333333333
"2016-12",382.549032258065,1516.77419354839,762.838709677419,0,762.709677419355,2022.16612903226,9.16677419354839,1384.48387096774
"2017-01",383.209032258064,805.161290322581,1005.06451612903,0,1005.12903225806,1210.48161290323,12.5554838709677,735.612903225806
"2017-02",383.0425,1142.5,740.464285714286,0,740.464285714286,1637.69678571429,11.6653571428571,1117.96428571429
"2017-03",383.653225806452,938.064516129032,710.451612903226,0,710.451612903226,1024.71258064516,14.9561290322581,728.612903225806
"2017-04",383.818333333333,811.666666666667,767,0,767,847.629666666667,15.8796666666667,688.6
"2017-05",383.531290322581,447.741935483871,707.096774193548,0,707.129032258065,517.908064516129,14.2848387096774,335.838709677419
"2017-06",383.229666666667,484.333333333333,608.966666666667,0,608.966666666667,463.704666666667,12.6503333333333,332.933333333333
"2017-07",382.894838709677,399.032258064516,611.451612903226,0,611.451612903226,376.362580645161,10.8941935483871,303.645161290323
"2017-08",382.499677419355,368.387096774194,615.903225806452,0,615.903225806452,344.375161290323,8.89516129032258,290.516129032258
"2017-09",381.967333333333,317.666666666667,608.766666666667,0,608.766666666667,257.252333333333,6.332,250.033333333333
"2017-10",381.41935483871,314.838709677419,562.774193548387,0,562.774193548387,206.976774193548,3.84225806451613,181.612903225806
"2017-11",381.071666666667,531.666666666667,557.566666666667,0,559.233333333333,575.013333333333,2.32833333333333,405.733333333333
"2017-12",381.616774193548,1339.03225806452,626.516129032258,0,626.516129032258,2090.76451612903,4.76161290322581,1390.51612903226
"2018-01",383.091290322581,1114.86290322581,607.096774193548,0,606.838709677419,1667.16870967742,11.9251612903226,1005.64516129032
"2018-02",383.9025,1572.33214285714,638.964285714286,0,639.892857142857,2221.27857142857,16.4464285714286,1540.96428571429
"2018-03",385.586774193548,1778.10935483871,591.58064516129,0,590.870967741935,2654.19,27.3587096774194,1864.8064516129
"2018-04",386.821333333333,1279.39066666667,694.9,0,696.3,1608.13966666667,36.8496666666667,1263.7
"2018-05",386.915161290323,504.914516129032,656.870967741935,0,657.483870967742,743.388387096774,37.6238709677419,613.58064516129
"2018-06",386.653,430.565333333333,691.366666666667,0,691.3,543.459333333333,35.463,417.833333333333
"2018-07",386.340322580645,400.22935483871,694.806451612903,0,694.645161290323,478.258709677419,32.9632258064516,347.709677419355
"2018-08",385.987096774194,385.059032258065,685.612903225806,0,685.258064516129,425.224516129032,30.2322580645161,351.58064516129
"2018-09",385.576,341.433333333333,708.333333333333,0,707.833333333333,390.654,27.1863333333333,329.666666666667
"2018-10",385.07,393.026774193548,741.741935483871,0,740.645161290323,446.961290322581,23.6467741935484,345.225806451613
"2018-11",384.845666666667,943.109333333333,735.933333333333,0,735.933333333333,1466.94966666667,22.1466666666667,985.033333333333
"2018-12",385.956451612903,1908.66967741935,732.967741935484,0,735.032258064516,2792.48838709677,30.0690322580645,1944.29032258065
"2019-01",386.767741935484,1165.65096774194,925.741935483871,0,901.387096774194,1661.93548387097,36.4032258064516,1153.8064516129
"2019-02",386.76,854.75,797.892857142857,0,797.892857142857,1276.71428571429,36.3353571428571,849.464285714286
"2019-03",387.173225806452,1291.29032258065,713.354838709677,0,713.354838709677,2043.45161290323,39.8293548387097,1189.64516129032
"2019-04",387.899,1474.66666666667,709.4,0,709.4,2120.9,46.3243333333333,1425.5
"2019-05",388.14935483871,872.58064516129,990.161290322581,0,990.161290322581,1285.51612903226,48.6622580645161,839.096774193548
"2019-06",387.892,684.666666666667,905.3,0,905.3,728.633333333333,46.2456666666667,514.966666666667
"2019-07",387.693225806452,643.225806451613,848.290322580645,0,848.290322580645,622,44.4196774193548,395.258064516129
"2019-08",387.45064516129,561.935483870968,811.709677419355,0,811.709677419355,514.032258064516,42.2429032258065,344.741935483871
"2019-09",387.089333333333,485,999.433333333333,0,999.433333333333,404.3,39.1056666666667,294.366666666667
"2019-10",386.76,470,1096,0,1096,303,36.335,236.5
